Unnamed: 0,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
9745,67, State-gov,1015290, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70.0, United-States, <=50K
15812,27, Private,331395, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50.0, United-States, >50K
13204,26, Private,334705, 7th-8th,4, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,35.0, United-States, <=50K
6158,18, Private,114076, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40.0, United-States, <=50K
3400,49, Local-gov,40666, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50.0, United-States, >50K
15527,24, ?,204374, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
25308,32, Private,379897, Assoc-acdm,12, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40.0, Japan, <=50K
27351,38, Local-gov,94366, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
23645,35, Self-emp-not-inc,351789, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
13886,36, Self-emp-not-inc,104113, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,18.0, United-States, <=50K
13678,21, Private,164858, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60.0, United-States, <=50K
15209,45, Self-emp-not-inc,174189, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,18.0, United-States, <=50K
7175,66, Self-emp-not-inc,109015, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40.0, United-States, <=50K
9603,35, Private,156246, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,30.0, United-States, <=50K
12817,51, Private,465845, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40.0, United-States, <=50K
5951,25, Private,173968, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40.0, United-States, <=50K
22199,54, Local-gov,180123, 10th,6, Divorced, Adm-clerical, Unmarried, White, Female,0,0,17.0, United-States, <=50K
13710,48, Private,254031, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40.0, United-States, >50K
6456,20, ?,74077, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40.0, United-States, <=50K
30351,32, Private,104075, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Male,0,0,32.0, United-States, <=50K
2522,18, Private,86786, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,30.0, United-States, <=50K
32121,37, Private,209131, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,40.0, United-States, <=50K
22293,42, Private,169145, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40.0, United-States, >50K
8702,43, Private,443440, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40.0, United-States, >50K
4734,34, Private,252729, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48.0, United-States, <=50K
19734,37, Private,72590, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,8.0, United-States, <=50K
7042,19, Private,227491, 7th-8th,4, Never-married, Other-service, Own-child, White, Male,0,0,20.0, United-States, >50K
25116,47, Private,33309, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45.0, United-States, >50K
26852,22, Private,202585, 11th,7, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35.0, United-States, <=50K
4963,45, Private,200574, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40.0, United-States, >50K
5075,55, State-gov,268571, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40.0, United-States, <=50K
6739,34, Private,120277, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50.0, United-States, <=50K
23104,18, Private,284703, 12th,8, Never-married, Farming-fishing, Own-child, White, Male,0,0,14.0, United-States, >50K
28184,50, Private,165304, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60.0, United-States, <=50K
19426,50, Local-gov,253190, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,20.0, United-States, <=50K
14851,43, Private,216958, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,4787,0,40.0, United-States, >50K
5500,47, Federal-gov,104814, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1902,40.0, United-States, >50K
22631,41, Self-emp-inc,181149, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40.0, United-States, >50K
9500,31, Private,403454, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,60.0, United-States, <=50K
15948,30, Private,168564, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
20403,49, Federal-gov,81053, Masters,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40.0, United-States, <=50K
11879,32, Private,91943, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45.0, United-States, <=50K
2051,25, Private,241069, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45.0, United-States, <=50K
3659,23, Private,147473, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40.0, United-States, <=50K
15126,38, Local-gov,68520, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50.0, United-States, <=50K
15635,32, Federal-gov,263128, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, >50K
6693,23, Private,161027, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
9172,34, Private,116632, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
27305,26, Private,271466, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
29846,27, Private,97842, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40.0, United-States, <=50K
6339,58, Self-emp-not-inc,737315, Assoc-voc,11, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40.0, United-States, <=50K
8291,24, Private,239663, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
7616,50, Self-emp-not-inc,38702, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40.0, United-States, <=50K
29773,21, Private,103757, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30.0, United-States, <=50K
15285,55, Self-emp-not-inc,56483, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, <=50K
13876,18, Self-emp-not-inc,102597, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,0,0,20.0, United-States, <=50K
23271,51, Self-emp-not-inc,15191, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40.0, United-States, >50K
10679,47, Self-emp-not-inc,220049, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40.0, United-States, >50K
28151,25, Self-emp-not-inc,175954, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
10302,65, Self-emp-not-inc,192777, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40.0, United-States, <=50K
22057,29, Self-emp-not-inc,138768, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40.0, United-States, <=50K
17880,20, Self-emp-inc,93999, Bachelors,13, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40.0, United-States, <=50K
2860,18, Private,134028, HS-grad,9, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,14.0, United-States, <=50K
22051,29, Self-emp-not-inc,375063, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50.0, United-States, <=50K
21764,18, Federal-gov,209199, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,44.0, United-States, <=50K
13407,47, Private,82393, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,35.0, Vietnam, >50K
30402,31, Local-gov,314057, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60.0, United-States, <=50K
19065,39, Self-emp-not-inc,101318, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,50.0, United-States, <=50K
4640,51, Federal-gov,75235, HS-grad,9, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40.0, United-States, <=50K
3931,28, Private,1323400, Some-college,10, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40.0, Taiwan, <=50K
4155,48, Private,239312, Bachelors,13, Widowed, Sales, Unmarried, White, Female,0,0,45.0, United-States, <=50K
16457,29, ?,102476, Masters,14, Married-civ-spouse, ?, Wife, White, Female,0,0,20.0, United-States, <=50K
26706,34, ?,361431, HS-grad,9, Divorced, ?, Unmarried, White, Female,0,0,23.0, United-States, <=50K
16959,51, Private,103513, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,1887,50.0, ?, >50K
